tool,provider,algorithm_id,display_name,group,detection_method
OTB,OTB,RadiometricIndices,RadiometricIndices,Math and Statistics,"cli_executables, individual_help"
OTB,OTB,ClassificationMapRegularization,ClassificationMapRegularization,Classification,"cli_executables, individual_help"
OTB,OTB,LocalRxDetection,LocalRxDetection,Change Detection,"cli_executables, individual_help"
OTB,OTB,Mosaic,Mosaic,Image Fusion,"cli_executables, individual_help"
OTB,OTB,StereoFramework,StereoFramework,Stereo Processing,"cli_executables, individual_help"
OTB,OTB,DomainTransform,DomainTransform,Geometric Processing,"cli_executables, individual_help"
OTB,OTB,ResetMargin,ResetMargin,General,"cli_executables, individual_help"
OTB,OTB,DynamicConvert,DynamicConvert,Input/Output,"cli_executables, individual_help"
OTB,OTB,SampleAugmentation,SampleAugmentation,General,"cli_executables, individual_help"
OTB,OTB,MultiImageSamplingRate,MultiImageSamplingRate,General,"cli_executables, individual_help"
OTB,OTB,LocalStatisticExtraction,LocalStatisticExtraction,Math and Statistics,"cli_executables, individual_help"
OTB,OTB,LSMSVectorization,LSMSVectorization,Segmentation,"cli_executables, individual_help"
OTB,OTB,ImageEnvelope,ImageEnvelope,General,"cli_executables, individual_help"
OTB,OTB,Quicklook,Quicklook,General,"cli_executables, individual_help"
OTB,OTB,BundleToPerfectSensor,BundleToPerfectSensor,Image Fusion,"cli_executables, individual_help"
OTB,OTB,ContrastEnhancement,ContrastEnhancement,Filtering,"cli_executables, individual_help"
OTB,OTB,ImageRegression,ImageRegression,Machine Learning,"cli_executables, individual_help"
OTB,OTB,SARPolarMatrixConvert,SARPolarMatrixConvert,Input/Output,"cli_executables, individual_help"
OTB,OTB,HomologousPointsExtraction,HomologousPointsExtraction,Feature Extraction,"cli_executables, individual_help"
OTB,OTB,SFSTextureExtraction,SFSTextureExtraction,Feature Extraction,"cli_executables, individual_help"
OTB,OTB,Pansharpening,Pansharpening,Image Fusion,"cli_executables, individual_help"
OTB,OTB,RigidTransformResample,RigidTransformResample,Geometric Processing,"cli_executables, individual_help"
OTB,OTB,ComputeModulusAndPhase,ComputeModulusAndPhase,Math and Statistics,"cli_executables, individual_help"
