tool,provider,algorithm_id,display_name,group,detection_method
Python,gdal.gdal,gdal.gdal.AbortPendingUploads,AbortPendingUploads(char const * utf8_path) -> bool,GDAL General,introspection
Python,gdal.gdal,gdal.gdal.AllRegister,AllRegister(),GDAL General,introspection
Python,gdal.gdal,gdal.gdal.ApplyGeoTransform,"ApplyGeoTransform(double [6] padfGeoTransform, double dfPixel, double dfLine)",GDAL Geometric,introspection
Python,gdal.gdal,gdal.gdal.ApplyVerticalShiftGrid,"ApplyVerticalShiftGrid(Dataset src_ds, Dataset grid_ds, bool inverse=False, double srcUnitToMeter=1.0, double dstUnitToMeter=1.0, char ** options=None) -> Dataset",GDAL General,introspection
Python,gdal.gdal,gdal.gdal.AsyncReader.GetBuffer,GetBuffer(AsyncReader self),GDAL General,class_methods
Python,gdal.gdal,gdal.gdal.AsyncReader.GetNextUpdatedRegion,"GetNextUpdatedRegion(AsyncReader self, double timeout) -> GDALAsyncStatusType",GDAL General,class_methods
Python,gdal.gdal,gdal.gdal.AsyncReader.LockBuffer,"LockBuffer(AsyncReader self, double timeout) -> int",GDAL General,class_methods
Python,gdal.gdal,gdal.gdal.AsyncReader.UnlockBuffer,UnlockBuffer(AsyncReader self),GDAL General,class_methods
Python,gdal.gdal,gdal.gdal.Attribute.GetDataType,GetDataType(Attribute self) -> ExtendedDataType,GDAL General,class_methods
Python,gdal.gdal,gdal.gdal.Attribute.GetDimensionCount,GetDimensionCount(Attribute self) -> size_t,GDAL General,class_methods
Python,gdal.gdal,gdal.gdal.Attribute.GetDimensionsSize,GetDimensionsSize(Attribute self),GDAL General,class_methods
Python,gdal.gdal,gdal.gdal.Attribute.GetFullName,GetFullName(Attribute self) -> char const *,GDAL General,class_methods
Python,gdal.gdal,gdal.gdal.Attribute.GetName,GetName(Attribute self) -> char const *,GDAL General,class_methods
Python,gdal.gdal,gdal.gdal.Attribute.GetTotalElementsCount,GetTotalElementsCount(Attribute self) -> GUIntBig,GDAL General,class_methods
Python,gdal.gdal,gdal.gdal.Attribute.Read,Read an attribute and return it with the most appropriate type ,GDAL I/O,class_methods
Python,gdal.gdal,gdal.gdal.Attribute.ReadAsDouble,ReadAsDouble(Attribute self) -> double,GDAL I/O,class_methods
Python,gdal.gdal,gdal.gdal.Attribute.ReadAsDoubleArray,ReadAsDoubleArray(Attribute self),GDAL I/O,class_methods
Python,gdal.gdal,gdal.gdal.Attribute.ReadAsInt,ReadAsInt(Attribute self) -> int,GDAL I/O,class_methods
Python,gdal.gdal,gdal.gdal.Attribute.ReadAsInt64,ReadAsInt64(Attribute self) -> long long,GDAL I/O,class_methods
Python,gdal.gdal,gdal.gdal.Attribute.ReadAsInt64Array,ReadAsInt64Array(Attribute self),GDAL I/O,class_methods
Python,gdal.gdal,gdal.gdal.Attribute.ReadAsIntArray,ReadAsIntArray(Attribute self),GDAL I/O,class_methods
Python,gdal.gdal,gdal.gdal.Attribute.ReadAsRaw,ReadAsRaw(Attribute self) -> CPLErr,GDAL I/O,class_methods
Python,gdal.gdal,gdal.gdal.Attribute.ReadAsString,ReadAsString(Attribute self) -> char const *,GDAL I/O,class_methods
Python,gdal.gdal,gdal.gdal.Attribute.ReadAsStringArray,ReadAsStringArray(Attribute self) -> char **,GDAL I/O,class_methods
Python,gdal.gdal,gdal.gdal.Attribute.Rename,"Rename(Attribute self, char const * newName) -> CPLErr",GDAL General,class_methods
Python,gdal.gdal,gdal.gdal.Attribute.Write,Attribute.Write,GDAL I/O,class_methods
Python,gdal.gdal,gdal.gdal.Attribute.WriteDouble,"WriteDouble(Attribute self, double val) -> CPLErr",GDAL I/O,class_methods
Python,gdal.gdal,gdal.gdal.Attribute.WriteDoubleArray,"WriteDoubleArray(Attribute self, int nList) -> CPLErr",GDAL I/O,class_methods
Python,gdal.gdal,gdal.gdal.Attribute.WriteInt,"WriteInt(Attribute self, int val) -> CPLErr",GDAL I/O,class_methods
Python,gdal.gdal,gdal.gdal.Attribute.WriteInt64,"WriteInt64(Attribute self, long long val) -> CPLErr",GDAL I/O,class_methods
Python,gdal.gdal,gdal.gdal.Attribute.WriteInt64Array,"WriteInt64Array(Attribute self, int nList) -> CPLErr",GDAL I/O,class_methods
Python,gdal.gdal,gdal.gdal.Attribute.WriteIntArray,"WriteIntArray(Attribute self, int nList) -> CPLErr",GDAL I/O,class_methods
Python,gdal.gdal,gdal.gdal.Attribute.WriteRaw,"WriteRaw(Attribute self, GIntBig nLen) -> CPLErr",GDAL I/O,class_methods
Python,gdal.gdal,gdal.gdal.Attribute.WriteString,"WriteString(Attribute self, char const * val) -> CPLErr",GDAL I/O,class_methods
Python,gdal.gdal,gdal.gdal.Attribute.WriteStringArray,"WriteStringArray(Attribute self, char ** vals) -> CPLErr",GDAL I/O,class_methods
Python,gdal.gdal,gdal.gdal.AutoCreateWarpedVRT,"AutoCreateWarpedVRT(Dataset src_ds, char const * src_wkt=None, char const * dst_wkt=None, GDALResampleAlg eResampleAlg=GRA_NearestNeighbour, double maxerror=0.0) -> Dataset",GDAL I/O,introspection
Python,gdal.gdal,gdal.gdal.Band.AdviseRead,"AdviseRead(Band self, int xoff, int yoff, int xsize, int ysize, int * buf_xsize=None, int * buf_ysize=None, GDALDataType * buf_type=None, char ** options=None) -> CPLErr",GDAL I/O,class_methods
Python,gdal.gdal,gdal.gdal.Band.AsMDArray,AsMDArray(Band self) -> MDArray,GDAL General,class_methods
