Tool,Provider,Algorithm_ID,Display_Name,Group
Python,Package,numpy,numpy,Scientific Computing
Python,Package,gdal,gdal,Geospatial Core
Python,Package,proj,proj,Geospatial Core
Python,Package,geos,geos,Geospatial Core
Python,Package,libspatialindex,libspatialindex,Other
Python,Package,boost-cpp,boost-cpp,Other
Python,Package,fiona,fiona,Geospatial Core
Python,Package,shapely,shapely,Geospatial Core
Python,Package,pyproj,pyproj,Geospatial Core
Python,Package,pandas,pandas,Scientific Computing
Python,Package,scipy,scipy,Scientific Computing
Python,Package,matplotlib,matplotlib,Scientific Computing
Python,Package,seaborn,seaborn,Scientific Computing
Python,Package,scikit-learn,scikit-learn,Scientific Computing
Python,Package,geopandas,geopandas,Geospatial Core
Python,Package,rasterio,rasterio,Geospatial Core
Python,Package,xarray,xarray,Data Formats
Python,Package,netcdf4,netcdf4,Data Formats
Python,Package,h5py,h5py,Data Formats
Python,Package,h5netcdf,h5netcdf,Data Formats
Python,Package,zarr,zarr,Data Formats
Python,Package,jupyter,jupyter,Jupyter Environment
Python,Package,jupyterlab,jupyterlab,Jupyter Environment
Python,Package,ipywidgets,ipywidgets,Jupyter Environment
Python,Package,plotly,plotly,Visualization
Python,Package,bokeh,bokeh,Visualization
Python,Package,folium,folium,Visualization
Python,Package,contextily,contextily,Visualization
Python,Package,mapclassify,mapclassify,Other
Python,Package,holoviews,holoviews,Visualization
Python,Package,hvplot,hvplot,Visualization
Python,Package,osmnx,osmnx,Geospatial Analysis
Python,Package,earthpy,earthpy,Geospatial Analysis
Python,Package,geoplot,geoplot,Geospatial Analysis
Python,Package,scikit-image,scikit-image,Image Processing
Python,Package,tifffile,tifffile,Image Processing
Python,Package,imageio-ffmpeg,imageio-ffmpeg,Image Processing
Python,Package,opencv,opencv,Image Processing
Python,Package,localtileserver,localtileserver,Other
Python,Package,rio-cogeo,rio-cogeo,Other
Python,Package,rioxarray,rioxarray,Other
Python,Package,ipyleaflet,ipyleaflet,Web Mapping
Python,Package,owslib,owslib,Web Mapping
Python,Package,geemap,geemap,Web Mapping
Python,Package,leafmap,leafmap,Web Mapping
Python,Package,census,census,Specialized Tools
Python,Package,us,us,Specialized Tools
Python,Package,pykrige,pykrige,Specialized Tools
Python,Package,palettable,palettable,Specialized Tools
Python,Package,geojson,geojson,Specialized Tools
Python,Package,pystac,pystac,Cloud/Remote Sensing
Python,Package,stackstac,stackstac,Cloud/Remote Sensing
Python,Package,planetary-computer,planetary-computer,Cloud/Remote Sensing
Python,Package,qgis,qgis,GIS Platforms
Python,Package,whitebox_tools,whitebox_tools,GIS Platforms
Python,Package,pytorch-cpu,pytorch-cpu,Deep Learning
Python,Package,torchvision,torchvision,Deep Learning
Python,Package,torchaudio,torchaudio,Deep Learning
Python,Package,pytorch-lightning,pytorch-lightning,Deep Learning
Python,Package,tensorflow,tensorflow,Deep Learning
Python,Package,keras,keras,Deep Learning
Python,Package,albumentations,albumentations,Deep Learning
Python,Package,timm,timm,Deep Learning
Python,Package,pygis,pygis,Other
Python,Package,earthengine-api,earthengine-api,Cloud/Remote Sensing
Python,Package,sklearn-xarray,sklearn-xarray,Other
Python,Package,sphinx,sphinx,Documentation
Python,Package,sphinx_sitemap,sphinx_sitemap,Documentation
Python,Package,sphinxcontrib.bibtex,sphinxcontrib.bibtex,Other
Python,Package,sphinx_inline_tabs,sphinx_inline_tabs,Other
Python,Package,pydata-sphinx-theme,pydata-sphinx-theme,Other
Python,Package,sankee,sankee,Other
Python,Package,overturemaps,overturemaps,Other
Python,Package,whiteboxgui,whiteboxgui,Other
Python,Package,jupyter-book,jupyter-book,Documentation
Python,Package,ghp-import,ghp-import,Documentation
Python,Package,numpy-groupies,numpy-groupies,Other
Python,Package,sympy,sympy,Other
Python,Package,dask-geopandas,dask-geopandas,Other
Python,Package,cenpy,cenpy,Other
Python,Package,whitebox,whitebox,Other
Python,Package,PySAGA-cmd,PySAGA-cmd,GIS Platforms
