Tool,Provider,Algorithm_ID,Display_Name,Group
QGIS,3d,3d:tessellate,Tessellate,Vector geometry
QGIS,gdal,gdal:aspect,Aspect,Raster analysis
QGIS,gdal,gdal:assignprojection,Assign projection,Raster projections
QGIS,gdal,gdal:buffervectors,Buffer vectors,Vector geoprocessing
QGIS,gdal,gdal:buildvirtualraster,Build virtual raster,Raster miscellaneous
QGIS,gdal,gdal:buildvirtualvector,Build virtual vector,Vector miscellaneous
QGIS,gdal,gdal:cliprasterbyextent,Clip raster by extent,Raster extraction
QGIS,gdal,gdal:cliprasterbymasklayer,Clip raster by mask layer,Raster extraction
QGIS,gdal,gdal:clipvectorbyextent,Clip vector by extent,Vector geoprocessing
QGIS,gdal,gdal:clipvectorbypolygon,Clip vector by mask layer,Vector geoprocessing
QGIS,gdal,gdal:colorrelief,Color relief,Raster analysis
QGIS,gdal,gdal:contour,Contour,Raster extraction
QGIS,gdal,gdal:contour_polygon,Contour Polygons,Raster extraction
QGIS,gdal,gdal:convertformat,Convert format,Vector conversion
QGIS,gdal,gdal:dissolve,Dissolve,Vector geoprocessing
QGIS,gdal,gdal:executesql,Execute SQL,Vector miscellaneous
QGIS,gdal,gdal:extractprojection,Extract projection,Raster projections
QGIS,gdal,gdal:fillnodata,Fill NoData,Raster analysis
QGIS,gdal,gdal:gdal2tiles,gdal2tiles,Raster miscellaneous
QGIS,gdal,gdal:gdal2xyz,gdal2xyz,Raster conversion
QGIS,gdal,gdal:gdalinfo,Raster information,Raster miscellaneous
QGIS,gdal,gdal:gridaverage,Grid (Moving average),Raster analysis
QGIS,gdal,gdal:griddatametrics,Grid (Data metrics),Raster analysis
QGIS,gdal,gdal:gridinversedistance,Grid (Inverse distance to a power),Raster analysis
QGIS,gdal,gdal:gridinversedistancenearestneighbor,Grid (IDW with nearest neighbor searching),Raster analysis
QGIS,gdal,gdal:gridlinear,Grid (Linear),Raster analysis
QGIS,gdal,gdal:gridnearestneighbor,Grid (Nearest neighbor),Raster analysis
QGIS,gdal,gdal:hillshade,Hillshade,Raster analysis
QGIS,gdal,gdal:importvectorintopostgisdatabaseavailableconnections,Export to PostgreSQL (available connections),Vector miscellaneous
QGIS,gdal,gdal:importvectorintopostgisdatabasenewconnection,Export to PostgreSQL (new connection),Vector miscellaneous
QGIS,gdal,gdal:merge,Merge,Raster miscellaneous
QGIS,gdal,gdal:nearblack,Near black,Raster analysis
QGIS,gdal,gdal:offsetcurve,Offset curve,Vector geoprocessing
QGIS,gdal,gdal:ogrinfo,Vector information,Vector miscellaneous
QGIS,gdal,gdal:ogrinfojson,Vector information (JSON),Vector miscellaneous
QGIS,gdal,gdal:onesidebuffer,One side buffer,Vector geoprocessing
QGIS,gdal,gdal:overviews,Build overviews (pyramids),Raster miscellaneous
QGIS,gdal,gdal:pansharp,Pansharpening,Raster miscellaneous
QGIS,gdal,gdal:pcttorgb,PCT to RGB,Raster conversion
QGIS,gdal,gdal:pointsalonglines,Points along lines,Vector geoprocessing
QGIS,gdal,gdal:polygonize,Polygonize (raster to vector),Raster conversion
QGIS,gdal,gdal:proximity,Proximity (raster distance),Raster analysis
QGIS,gdal,gdal:rastercalculator,Raster calculator,Raster miscellaneous
QGIS,gdal,gdal:rasterize,Rasterize (vector to raster),Vector conversion
QGIS,gdal,gdal:rasterize_over,Rasterize (overwrite with attribute),Vector conversion
QGIS,gdal,gdal:rasterize_over_fixed_value,Rasterize (overwrite with fixed value),Vector conversion
QGIS,gdal,gdal:rearrange_bands,Rearrange bands,Raster conversion
QGIS,gdal,gdal:retile,Retile,Raster miscellaneous
QGIS,gdal,gdal:rgbtopct,RGB to PCT,Raster conversion
QGIS,gdal,gdal:roughness,Roughness,Raster analysis
QGIS,gdal,gdal:sieve,Sieve,Raster analysis
QGIS,gdal,gdal:slope,Slope,Raster analysis
QGIS,gdal,gdal:tileindex,Tile index,Raster miscellaneous
QGIS,gdal,gdal:tpitopographicpositionindex,Topographic Position Index (TPI),Raster analysis
QGIS,gdal,gdal:translate,Translate (convert format),Raster conversion
QGIS,gdal,gdal:triterrainruggednessindex,Terrain Ruggedness Index (TRI),Raster analysis
QGIS,gdal,gdal:viewshed,Viewshed,Raster miscellaneous
QGIS,gdal,gdal:warpreproject,Warp (reproject),Raster projections
QGIS,native,native:addautoincrementalfield,Add autoincremental field,Vector table
QGIS,native,native:addfieldtoattributestable,Add field to attributes table,Vector table
QGIS,native,native:addhistorymetadata,Add history metadata,Metadata tools
QGIS,native,native:adduniquevalueindexfield,Add unique value index field,Vector table
QGIS,native,native:addxyfields,Add X/Y fields to layer,Vector table
QGIS,native,native:affinetransform,Affine transform,Vector geometry
QGIS,native,native:aggregate,Aggregate,Vector geometry
QGIS,native,native:alignrasters,Align rasters,Raster tools
QGIS,native,native:alignsingleraster,Align raster,Raster tools
QGIS,native,native:angletonearest,Align points to features,Cartography
QGIS,native,native:antimeridiansplit,Geodesic line split at antimeridian,Vector geometry
QGIS,native,native:arrayoffsetlines,Array of offset (parallel) lines,Vector creation
QGIS,native,native:arraytranslatedfeatures,Array of translated features,Vector creation
QGIS,native,native:aspect,Aspect,Raster terrain analysis
QGIS,native,native:assignprojection,Assign projection,Vector general
QGIS,native,native:atlaslayouttoimage,Export atlas layout as image,Cartography
QGIS,native,native:atlaslayouttomultiplepdf,Export atlas layout as PDF (multiple files),Cartography
QGIS,native,native:atlaslayouttopdf,Export atlas layout as PDF (single file),Cartography
QGIS,native,native:b3dmtogltf,Convert B3DM to GLTF,3D Tiles
QGIS,native,native:basicstatisticsforfields,Basic statistics for fields,Vector analysis
QGIS,native,native:batchnominatimgeocoder,Batch Nominatim geocoder,Vector general
QGIS,native,native:bookmarkstolayer,Convert spatial bookmarks to layer,Vector general
QGIS,native,native:boundary,Boundary,Vector geometry
QGIS,native,native:boundingboxes,Bounding boxes,Vector geometry
QGIS,native,native:buffer,Buffer,Vector geometry
QGIS,native,native:bufferbym,Variable width buffer (by M value),Vector geometry
QGIS,native,native:calculateexpression,Calculate expression,Modeler tools
QGIS,native,native:calculatevectoroverlaps,Overlap analysis,Vector analysis
QGIS,native,native:categorizeusingstyle,Create categorized renderer from styles,Cartography
QGIS,native,native:cellstackpercentile,Cell stack percentile,Raster analysis
QGIS,native,native:cellstackpercentrankfromrasterlayer,Cell stack percentrank from raster layer,Raster analysis
QGIS,native,native:cellstackpercentrankfromvalue,Cell stack percent rank from value,Raster analysis
QGIS,native,native:cellstatistics,Cell statistics,Raster analysis
QGIS,native,native:centroids,Centroids,Vector geometry
QGIS,native,native:checkgeometryangle,Check geometry (Angle),Check geometry
QGIS,native,native:checkgeometryarea,Check geometry (Area),Check geometry
QGIS,native,native:checkgeometryhole,Check geometry (Hole),Check geometry
QGIS,native,native:checkgeometrymissingvertex,Check geometry (Missing Vertex),Check geometry
QGIS,native,native:clip,Clip,Vector overlay
QGIS,native,native:collect,Collect geometries,Vector geometry
QGIS,native,native:combinestyles,Combine style databases,Cartography
QGIS,native,native:concavehull,Concave hull,Vector geometry
QGIS,native,native:condition,Conditional branch,Modeler tools
QGIS,native,native:convertgpsdata,Convert GPS data,GPS
QGIS,native,native:convertgpxfeaturetype,Convert GPX feature type,GPS
QGIS,native,native:converttocurves,Convert to curved geometries,Vector geometry
QGIS,native,native:convexhull,Convex hull,Vector geometry
QGIS,native,native:copylayermetadata,Copy layer metadata,Metadata tools
QGIS,native,native:countpointsinpolygon,Count points in polygon,Vector analysis
QGIS,native,native:coveragesimplify,Simplify coverage,Vector coverage
QGIS,native,native:coverageunion,Dissolve coverage,Vector coverage
QGIS,native,native:coveragevalidate,Validate coverage,Vector coverage
QGIS,native,native:createattributeindex,Create attribute index,Vector general
QGIS,native,native:createconstantrasterlayer,Create constant raster layer,Raster creation
QGIS,native,native:createdirectory,Create directory,Modeler tools
QGIS,native,native:creategrid,Create grid,Vector creation
QGIS,native,native:createpointslayerfromtable,Create points layer from table,Vector creation
QGIS,native,native:createrandombinomialrasterlayer,Create random raster layer (binomial distribution),Raster creation
QGIS,native,native:createrandomexponentialrasterlayer,Create random raster layer (exponential distribution),Raster creation
QGIS,native,native:createrandomgammarasterlayer,Create random raster layer (gamma distribution),Raster creation
QGIS,native,native:createrandomgeometricrasterlayer,Create random raster layer (geometric distribution),Raster creation
QGIS,native,native:createrandomnegativebinomialrasterlayer,Create random raster layer (negative binomial distribution),Raster creation
QGIS,native,native:createrandomnormalrasterlayer,Create random raster layer (normal distribution),Raster creation
QGIS,native,native:createrandompoissonrasterlayer,Create random raster layer (poisson distribution),Raster creation
QGIS,native,native:createrandomuniformrasterlayer,Create random raster layer (uniform distribution),Raster creation
QGIS,native,native:createspatialindex,Create spatial index,Vector general
QGIS,native,native:dbscanclustering,DBSCAN clustering,Vector analysis
QGIS,native,native:delaunaytriangulation,Delaunay triangulation,Vector geometry
QGIS,native,native:deletecolumn,Drop field(s),Vector table
QGIS,native,native:deleteduplicategeometries,Delete duplicate geometries,Vector general
QGIS,native,native:deleteholes,Delete holes,Vector geometry
QGIS,native,native:densifygeometries,Densify by count,Vector geometry
QGIS,native,native:densifygeometriesgivenaninterval,Densify by interval,Vector geometry
QGIS,native,native:detectvectorchanges,Detect dataset changes,Vector general
